Planet Name,Host Name,Number of Stars,Number of Moons,Discovery Method,Discovery Year,Discovery Facility,Orbital Period,Orbital Period (Upper),Orbital Period (Lower),Orbital Semi- Major Axis,Earth Radius,Earth Radius (Upper),Earth Radius (Lower),Jupiter Radius,Earth Mass,Earth Mass (Upper),Earth Mass (Lower),Spectral Type,Stellar Radius,Stellar Mass,Stellar Mass (Upper),Stellar Mass (Lower),Stellar Age,Relative Distance,Relative Distance (Upper),Relative Distance (Lower),Number of Emission Spectroscopy Measurements
HIP 14810 d,HIP 14810,1,0,Radial Velocity,2009,W. M. Keck Observatory,981.8,6.9,-6.9,1.94,14.1,,,1.26,187.5197,31.783,-31.783,G5,1.07,1.01,0.19,-0.19,5.84,50.48,0.1156,-0.1151,0
HIP 35173 b,HIP 35173,1,0,Radial Velocity,2019,Las Campanas Observatory,41.516,0.077,-0.077,0.217,3.61,,,0.322,12.7,2.7,-2.7,K2 V,0.77,0.79,0.05,-0.05,,33.1562,0.0641,-0.0638,0
HIP 38594 b,HIP 38594,1,0,Radial Velocity,2020,Multiple Observatories,60.722,0.122,-0.122,0.256,2.77,,,0.247,8.1,1.7,-1.7,M0,0.63,0.61,0.02,-0.02,,17.7886,0.0095,-0.0095,0
HIP 38594 c,HIP 38594,1,0,Radial Velocity,2020,Multiple Observatories,3477.768,229.001,-229.001,3.805,7.94,,,0.708,48.4,7.4,-7.4,M0,0.63,0.61,0.02,-0.02,,17.7886,0.0095,-0.0095,0
HIP 41378 b,HIP 41378,1,0,Transit,2016,K2,15.572098,0.000018,-0.000019,,2.9,0.44,-0.44,0.259,8.75,,,F6,1.34,1.17,0.07,-0.07,4.279,106.289,0.676,-0.668,0
HIP 41378 c,HIP 41378,1,0,Transit,2016,K2,31.70648,0.00024,-0.00019,,2.56,0.4,-0.4,0.228,7.08,,,F6,1.34,1.17,0.07,-0.07,4.279,106.289,0.676,-0.668,0
HIP 41378 d,HIP 41378,1,0,Transit,2016,K2,1114,,,,3.96,0.59,-0.59,0.353,14.9,,,F6,1.34,1.17,0.07,-0.07,4.279,106.289,0.676,-0.668,0
HIP 41378 e,HIP 41378,1,0,Transit,2016,K2,131,61,-36,,5.51,0.77,-0.77,0.492,26,,,F6,1.34,1.17,0.07,-0.07,4.279,106.289,0.676,-0.668,0
HIP 41378 f,HIP 41378,1,0,Transit,2016,K2,1084,,,,10.2,1.4,-1.4,0.91,74,,,F6,1.34,1.17,0.07,-0.07,4.279,106.289,0.676,-0.668,0
HIP 4845 b,HIP 4845,1,0,Radial Velocity,2020,Multiple Observatories,34.15,0.046,-0.046,0.176,3.89,,,0.347,14.4,3,-3,K7V,0.6,0.62,0.04,-0.04,,21.0974,0.0178,-0.0178,0
HIP 48714 b,HIP 48714,1,0,Radial Velocity,2020,Multiple Observatories,17.818,0.002,-0.002,0.112,5.11,,,0.456,22.9,2.8,-2.8,M0.5 Ve,0.6,0.58,0.02,-0.02,,10.5298,0.0043,-0.0043,0
HIP 5158 b,HIP 5158,1,0,Radial Velocity,2009,La Silla Observatory,345.72,5.37,-5.37,0.89,13.6,,,1.21,451,,,,0.75,0.78,0.02,-0.02,6,51.6026,0.1043,-0.1039,0
HIP 5158 c,HIP 5158,1,0,Radial Velocity,2011,La Silla Observatory,9017.76,3180.74,-3180.74,7.7,12.2,,,1.09,4780.1632,3353.1065,-3353.1065,,0.75,0.78,0.12,-0.07,6,51.6026,0.1043,-0.1039,0
HIP 54373 b,HIP 54373,1,0,Radial Velocity,2019,Las Campanas Observatory,7.76,0.003,-0.003,0.063,2.87,,,0.256,8.62,1.84,-1.84,K5 V,0.56,0.57,0.03,-0.03,,18.7168,0.0164,-0.0164,0
HIP 54373 c,HIP 54373,1,0,Radial Velocity,2019,Las Campanas Observatory,15.144,0.008,-0.008,0.099,3.57,,,0.318,12.44,2.11,-2.11,K5 V,0.56,0.57,0.03,-0.03,,18.7168,0.0164,-0.0164,0
HIP 56640 b,HIP 56640,1,0,Radial Velocity,2021,Multiple Observatories,2574.9,86.1,-86.1,3.73,13,,,1.16,1166.43025,60.3874,-60.3874,K1 III,4.93,1.04,0.07,-0.06,9.15,122.324,0.587,-0.581,0
HIP 57274 b,HIP 57274,1,0,Radial Velocity,2011,W. M. Keck Observatory,8.1352,0.004,-0.004,0.07,2.4,,,0.214,6.3566,3.1783,-3.1783,K4 V,0.78,0.29,0.3,-0.3,7.87,25.8618,0.0337,-0.0335,0
HIP 57274 c,HIP 57274,1,0,Radial Velocity,2011,W. M. Keck Observatory,32.03,0.02,-0.02,0.178,14.2,,,1.27,130,3,-3,K4 V,0.68,0.73,0.05,-0.05,7.87,25.8618,0.0337,-0.0335,0
HIP 57274 d,HIP 57274,1,0,Radial Velocity,2011,W. M. Keck Observatory,431.7,8.5,-8.5,1.01,14.2,,,1.27,167.4,8,-8,K4 V,0.68,0.73,0.05,-0.05,7.87,25.8618,0.0337,-0.0335,0
HIP 63242 b,HIP 63242,1,0,Radial Velocity,2013,Multiple Observatories,124.6,,,0.565,12.5,,,1.12,2917.56,,,G8,10.28,1.54,0.05,-0.05,,156.456,0.6995,-0.6995,0
HIP 65 A b,HIP 65 A,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.9809734,0.0000031,-0.0000031,0.01782,22.754,6.837,-5.492,2.03,1021.18779,24.79074,-24.79074,K4 V,0.72,0.78,0.03,-0.03,4.1,61.7856,0.0806,-0.0804,0
HIP 65407 b,HIP 65407,1,0,Radial Velocity,2016,Haute-Provence Observatory,28.125,0.019,-0.019,0.177,14.3,,,1.28,136.03124,10.17056,-10.17056,K0,0.95,0.93,0.07,-0.07,,61.7804,0.1065,-0.1062,0
HIP 65407 c,HIP 65407,1,0,Radial Velocity,2016,Haute-Provence Observatory,67.3,0.08,-0.08,0.316,13.9,,,1.24,249.17872,17.16282,-17.16282,K0,0.95,0.93,0.07,-0.07,,61.7804,0.1065,-0.1062,0
HIP 65426 b,HIP 65426,1,0,Imaging,2017,Paranal Observatory,,,,92,16.814,1.121,-1.121,1.5,2860.47,953.49,-953.49,A2 V,1.77,1.96,0.04,-0.04,0.014,108.875,0.753,-0.742,0
HIP 65891 b,HIP 65891,1,0,Radial Velocity,2015,Multiple Observatories,1084.5,23.2,-23.2,2.81,12.8,,,1.14,1906.98,155.7367,-155.7367,K0 III,8.93,2.5,0.21,-0.21,,150.292,0.65,-0.644,0
HIP 67522 b,HIP 67522,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),6.959503,0.000016,-0.000015,,10.07,0.47,-0.47,0.898,72.4,,,G1 V,1.38,1.22,0.05,-0.05,0.017,127.28,1.105,-1.087,0
HIP 67537 b,HIP 67537,1,0,Radial Velocity,2017,Multiple Observatories,2556.5,99.2,-94.9,4.91,12.4,,,1.11,3527.913,127.132,-349.613,K1 III,8.69,2.41,0.16,-0.16,,116.046,0.65,-0.65,0
HIP 67851 b,HIP 67851,1,0,Radial Velocity,2015,Multiple Observatories,88.9,0.1,-0.1,0.46,13.6,,,1.21,438.6054,47.6745,-47.6745,K0 III,5.92,1.63,0.22,-0.22,,64.1181,0.1748,-0.1748,0
HIP 67851 c,HIP 67851,1,0,Radial Velocity,2015,Multiple Observatories,2131.8,88.3,-88.3,3.82,12.7,,,1.14,2002.2,,,K0 III,5.92,1.63,0.22,-0.22,,64.1181,0.1748,-0.1748,0
HIP 70849 b,HIP 70849,2,0,Radial Velocity,2009,La Silla Observatory,17337.5,15512.5,-15512.5,20.25,12.5,,,1.12,2860,1907,-1907,K7 V,0.63,0.63,0.03,-0.03,3,24.0572,0.02475,-0.02475,0
HIP 71135 b,HIP 71135,1,0,Radial Velocity,2019,Las Campanas Observatory,87.19,0.381,-0.381,0.335,4.55,,,0.406,18.8,4.1,-4.1,M1,0.68,0.66,0.04,-0.04,,32.3311,0.0521,-0.0519,0
HIP 74890 b,HIP 74890,1,0,Radial Velocity,2016,Multiple Observatories,822.3,16.8,-16.8,2.1,13.3,,,1.18,762.792,95.349,-95.349,K1 III,5.77,1.74,0.21,-0.21,,78.6562,0.256,-0.256,0
HIP 75092 b,HIP 75092,1,0,Radial Velocity,2021,Multiple Observatories,926.4,12.8,-12.8,2.02,13.5,,,1.2,568.91285,47.67426,-47.67426,K0 III,4.53,1.28,0.11,-0.1,4.3,81.6696,0.4148,-0.4107,0
HIP 78530 b,HIP 78530,1,0,Imaging,2010,Gemini Observatory,,,,740,12,,,1.07,7300,300,-300,B9 V,2.11,2.5,,,0.005,136.759,1.493,-1.462,0
HIP 79098 AB b,HIP 79098 AB,2,0,Imaging,2019,Paranal Observatory,,,,345,12.1,,,1.08,6515.515,1430.235,-1430.235,B9 V,,3.75,1.25,-1.25,0.01,145.798,2.562,-2.476,0
HIP 79431 b,HIP 79431,1,0,Radial Velocity,2009,W. M. Keck Observatory,111.7,0.7,-0.7,0.36,13.4,,,1.19,667.415,,,M3 V,0.48,0.48,0.02,-0.02,,14.5324,0.0259,-0.0259,0
HIP 8541 b,HIP 8541,2,0,Radial Velocity,2016,Multiple Observatories,1560.2,53.9,-53.9,2.8,12.8,,,1.14,1748.065,317.83,-317.83,K2 III/IV,7.83,1.17,0.28,-0.28,,155.121,0.638,-0.634,0
HIP 90988 b,HIP 90988,1,0,Radial Velocity,2021,Multiple Observatories,453.9,2,-2,1.26,13.4,,,1.2,622.94368,34.96112,-34.96112,K1 III,3.94,1.3,0.08,-0.08,4.55,94.0349,0.3884,-0.3853,0
HIP 91258 b,HIP 91258,1,0,Radial Velocity,2013,Haute-Provence Observatory,5.0505,0.0015,-0.0015,0.06,13.7,,,1.23,346.4347,66.7443,-66.7443,G5 V,0.89,0.97,0.28,-0.28,2.4,45.8846,0.0661,-0.066,0
HIP 97233 b,HIP 97233,1,0,Radial Velocity,2014,Multiple Observatories,1058.8,6.7,-6.7,2.55,12.1,,,1.08,6356.3,127.1,-127.1,K0,5.34,1.93,0.11,-0.11,,102.275,0.407,-0.404,0
HN Peg b,HN Peg,1,0,Imaging,2006,Spitzer Space Telescope,,,,773,11.777,1.527,-0.654,1.051,6991.57,2996.39,-2996.39,G0V,1.01,1.08,0.14,-0.14,3.1,18.1186,0.0201,-0.0201,0
HR 2562 b,HR 2562,1,0,Imaging,2016,Gemini Observatory,,,,20.3,12.442,1.233,-1.233,1.11,9534.9,4767.45,-4767.45,F5 V,1.47,1.3,,,0.6,34.0071,0.048,-0.0478,0
HR 5183 b,HR 5183,2,0,Radial Velocity,2019,Multiple Observatories,27000,16000,-8000,18,13.1,,,1.17,1026.5909,47.6745,-44.4962,G0 V,1.53,1.07,0.04,-0.04,7.7,31.4607,0.039,-0.0389,0
HR 810 b,HR 810,1,0,Radial Velocity,1999,La Silla Observatory,302.79999,2.3,-2.3,0.92,13.3,,,1.19,721.4741,79.4575,-79.4575,G0V,1.13,1.34,0.13,-0.13,2.72,17.3181,0.0162,-0.0162,0
HR 858 b,HR 858,2,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.58599,0.00015,-0.00015,0.048,2.085,0.068,-0.064,0.186,5,,,F6 V,1.31,1.15,0.07,-0.08,,31.964,0.0722,-0.072,0
HR 858 c,HR 858,2,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),5.97293,0.0006,-0.00053,0.0674,1.939,0.069,-0.069,0.173,4.42,,,F6 V,1.31,1.15,0.07,-0.08,,31.964,0.0722,-0.072,0
HR 858 d,HR 858,2,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),11.23,0.0011,-0.001,0.1027,2.164,0.086,-0.083,0.193,5.32,,,F6 V,1.31,1.15,0.07,-0.08,,31.964,0.0722,-0.072,0
HR 8799 b,HR 8799,1,0,Imaging,2008,Gemini Observatory,170000,,,68,13,1,-1,1.2,2000,1000,-600,A5,1.49,1.61,0.32,-0.21,0.03,41.2441,0.1515,-0.1505,0
HR 8799 c,HR 8799,1,0,Imaging,2008,Gemini Observatory,69000,,,38,13,1,0,1.2,3000,1000,-1000,A5,1.49,1.61,0.32,-0.21,0.03,41.2441,0.1515,-0.1505,0
HR 8799 d,HR 8799,1,0,Imaging,2008,W. M. Keck Observatory,37000,,,24,13,1,0,1.2,3000,1000,-1000,A5,1.49,1.61,0.32,-0.21,0.03,41.2441,0.1515,-0.1505,0
HR 8799 e,HR 8799,1,0,Imaging,2010,W. M. Keck Observatory,20815.6,1128.62,-1128.62,16.4,13.115,1.457,-1.233,1.17,3178.3,2224.81,-1271.32,A5,1.49,1.51,0.04,-0.02,0.03,41.2441,0.1515,-0.1505,0
HU Aqr AB b,HU Aqr,2,0,Eclipse Timing Variations,2011,Yunnan Astronomical Observatory,2390,4,-4,3.6,12.8,,,1.14,1875.197,190.698,-190.698,,,0.88,,,,192.1980787,2.3303607,-2.3303607,0
HU Aqr AB c,HU Aqr,2,0,Eclipse Timing Variations,2011,Yunnan Astronomical Observatory,4368,515,-515,5.4,12.9,,,1.15,1430.235,158.915,-158.915,,,0.88,,,,192.1980787,2.3303607,-2.3303607,0
HW Vir b,HW Vir,3,0,Eclipse Timing Variations,2012,McDonald Observatory,4640,70,-70,4.69,12.3,,,1.09,4602.90201,321.88126,-321.88126,,,0.48,0.01,-0.01,,171.701,2.5225,-2.5225,0
IC 4651 9122 b,IC 4651 9122,1,0,Radial Velocity,2018,La Silla Observatory,734,8.1,-8.1,2.038,12.7,,,1.14,2002.329,158.915,-158.915,,10.27,2.1,,,1.14,859.324,31.989,-31.989,0
K2-10 b,K2-10,1,0,Transit,2015,K2,19.3044,0.0012,-0.0012,0.137,3.84,0.35,-0.34,0.343,27,17,-16,F9,0.98,0.92,0.05,-0.05,,272.36,3.112,-3.044,0
K2-100 b,K2-100,1,0,Transit,2016,K2,1.6739035,0.0000004,-0.0000004,0.0301,3.88,0.16,-0.16,0.346,21.8,6.2,-6.2,G0 V,1.24,1.15,0.05,-0.05,0.75,188.959,2.471,-2.41,0
K2-101 b,K2-101,1,0,Transit,2016,K2,14.677286,0.000828,-0.000804,,2,0.1,-0.1,0.178,4.66,,,K3,0.73,0.8,0.06,-0.06,0.79,188.33,2.128,-2.082,0
K2-102 b,K2-102,1,0,Transit,2016,K2,9.915615,0.001209,-0.001195,,1.3,0.1,-0.1,0.116,2.24,,,K5,0.71,0.77,0.06,-0.06,0.79,188.175,2.065,-2.022,0
K2-104 b,K2-104,1,0,Transit,2016,K2,1.974238,0.00011,-0.00011,0.023,1.96,0.15,-0.15,0.175,4.5,,,M2.5e,0.49,0.43,0.06,-0.07,0.79,189.289,3.996,-3.837,0
K2-105 b,K2-105,1,0,Transit,2017,K2,8.267704,0.00035,-0.000318,0.0796,3.37,0.12,-0.12,0.301,30,19,-19,K1,0.91,0.99,0.03,-0.03,0.6,197.989,1.555,-1.53,0
K2-107 b,K2-107,1,0,Transit,2017,K2,3.313959,0.000024,-0.000024,0.0475,15.98,0.55,-0.55,1.426,266.9772,25.4264,-25.4264,F9 IV,1.81,1.3,0.05,-0.05,4.25,685.2,20.502,-19.364,0
K2-108 b,K2-108,1,0,Transit,2017,K2,4.733999,0.000221,-0.000227,0.0581,5.33,0.21,-0.21,0.476,59.4,4.4,-4.4,,1.76,1.17,0.06,-0.06,7.8,477.295,10.094,-9.692,0
K2-11 b,K2-11,1,0,Transit,2015,K2,39.93767,0.23229,-0.23229,0.2257,7.55,9.33,-9.33,0.674,44.4,,,G8,5.15,1.35,0.04,-0.56,,329.309,2.682,-2.641,0
K2-110 b,K2-110,1,0,Transit,2017,K2,13.86387,0.000325,-0.000329,0.1027,2.56,0.07,-0.07,0.228,16.7,3.2,-3.2,K3 V,0.71,0.75,0.02,-0.02,8,116.474,0.431,-0.427,0
K2-111 b,K2-111,1,0,Transit,2017,K2,5.3518,0.0004,-0.0004,0.057,1.82,0.11,-0.09,0.162,5.29,0.76,-0.77,G2,1.25,0.84,0.02,-0.02,12.3,200.394,2.763,-2.69,0
K2-111 c,K2-111,1,0,Radial Velocity,2020,Multiple Observatories,15.6785,0.0064,-0.0063,0.1166,3.37,,,0.301,11.3,1.1,-1.1,G2,1.25,0.84,0.02,-0.02,12.3,200.394,2.763,-2.69,0
K2-113 b,K2-113,1,0,Transit,2017,K2,5.817685,0.000041,-0.000041,0.0642,12.14,0.35,-0.35,1.083,410.0007,41.3179,-44.4962,G,1.24,1.04,0.04,-0.04,5.9,635.722,13.43,-13.43,0
K2-114 b,K2-114,1,0,Transit,2017,K2,11.391013,0.000224,-0.000225,0.0954,10.67,0.36,-0.36,0.952,587.9855,73.1009,-69.9226,,0.84,0.89,0.03,-0.03,9.9,475.758,8.252,-7.98,0
K2-115 b,K2-115,1,0,Transit,2017,K2,20.272615,0.000356,-0.000343,0.143,12.06,0.22,-0.22,1.076,266.9772,57.2094,-63.566,G4,0.88,0.95,0.02,-0.02,10.7,413.591,4.312,-4.225,0
K2-116 b,K2-116,1,0,Transit,2017,K2,4.655411,0.000486,-0.000473,0.048,0.69,0.04,-0.04,0.062,0.257,,,,0.67,0.69,0.07,-0.07,,49.3855,0.1247,-0.124,0
K2-117 b,K2-117,1,0,Transit,2017,K2,1.2916,0.000049,-0.000051,0.0189,2.03,0.1,-0.1,0.181,4.78,,,M1.0 V,0.51,0.54,0.01,-0.01,,101.632,0.374,-0.372,0
K2-117 c,K2-117,1,0,Transit,2017,K2,5.444017,0.000462,-0.000455,0.0492,2.06,0.12,-0.12,0.184,4.9,,,M1.0 V,0.51,0.54,0.01,-0.01,,101.632,0.374,-0.372,0
K2-118 b,K2-118,1,0,Transit,2017,K2,50.92092,0.005584,-0.005249,0.245,2.54,0.23,-0.2,0.227,6.99,,,,0.73,0.76,0.08,-0.08,,321.722,3.7605,-3.7605,0
K2-119 b,K2-119,1,0,Transit,2017,K2,7.727283,0.001268,-0.001149,0.0698,2.53,0.2,-0.2,0.226,6.94,,,,0.71,0.76,0.02,-0.02,,365.581,4.37,-4.27,0
K2-12 b,K2-12,1,0,Transit,2015,K2,8.28212,0.0006,-0.0006,0.0802,2.33,0.58,-0.58,0.208,6.04,,,F9,1.01,1.01,0.05,-0.06,,326.381,6.282,-6.053,0
K2-120 b,K2-120,1,0,Transit,2017,K2,9.562742,0.000675,-0.000673,0.078,2.01,0.13,-0.12,0.179,4.7,,,,0.67,0.69,0.07,-0.07,,289.543874,2.3252793,-2.3252793,0
K2-121 b,K2-121,1,0,Transit,2017,K2,5.185761,0.000029,-0.00003,0.0525,7.5,0.14,-0.14,0.669,43.9,,,,0.68,0.72,0.01,-0.01,,169.398,1.061,-1.048,0
K2-122 b,K2-122,2,0,Transit,2017,K2,2.219282,0.000128,-0.00013,0.0285,1.21,0.08,-0.08,0.108,1.92,,,M0,0.6,0.62,0.01,-0.01,,72.0444,0.2532,-0.2532,0
K2-123 b,K2-123,1,0,Transit,2017,K2,30.951524,0.003625,-0.00332,0.1649,2.76,0.16,-0.16,0.246,8.05,,,,0.59,0.62,0.01,-0.01,,161.555,0.652,-0.652,0
K2-124 b,K2-124,1,0,Transit,2017,K2,6.413651,0.000036,-0.000031,0.049,2.9,0.1,-0.1,0.259,8.75,,,,0.39,0.39,0.01,-0.04,,140.385,1.32,-1.296,0
K2-125 b,K2-125,1,0,Transit,2017,K2,21.750264,0.00199,-0.001957,0.121,2.18,0.19,-0.18,0.194,5.39,,,,0.4,0.49,0.05,-0.06,,124.156,0.83,-0.83,0
K2-126 b,K2-126,1,0,Transit,2017,K2,7.385655,0.000501,-0.000509,0.0656,1.97,0.12,-0.12,0.176,4.54,,,,0.65,0.69,0.01,-0.01,,102.953,0.777,-0.766,0
K2-127 b,K2-127,1,0,Transit,2017,K2,3.588163,0.000028,-0.000029,0.0411,8.37,0.33,-0.33,0.747,52.9,,,,0.66,0.72,0.01,-0.01,,709.999,20.526,-19.423,0
K2-128 b,K2-128,1,0,Transit,2017,K2,5.675819,0.000411,-0.000414,0.056,1.42,0.16,-0.13,0.127,2.6,,,,0.78,0.71,0.07,-0.07,,114.637,0.93,-0.915,0
K2-129 b,K2-129,1,0,Transit,2017,K2,8.239493,0.000292,-0.000291,0.057,1.04,0.1,-0.09,0.093,1.12,,,,0.36,0.36,0.07,-0.07,,27.7957,0.0746,-0.0742,0
K2-13 b,K2-13,1,0,Transit,2015,K2,39.91488,0.32477,-0.32477,0.2114,1.89,0.95,-0.95,0.169,4.23,,,G3,0.78,0.8,0.04,-0.04,,342.394,4.436,-4.326,0
K2-130 b,K2-130,1,0,Transit,2017,K2,2.49412,0.000132,-0.000128,0.032,1.25,0.2,-0.14,0.112,2.1,,,,0.74,0.7,0.07,-0.07,,118.011,0.519,-0.514,0
K2-131 b,K2-131,1,0,Transit,2017,K2,0.36931,0.00001,-0.00001,0.0095,1.7,0.09,-0.05,0.152,6.3,1.4,-1.4,,0.75,0.84,0.01,-0.01,,152.509,1.079,-1.063,0
K2-132 b,K2-132,1,0,Transit,2017,K2,9.1751,0.0023,-0.0027,0.0916,14.572,0.785,-0.785,1.3,155.7367,19.0698,-19.0698,,3.85,1.08,0.08,-0.08,8.5,609.818,17.942,-16.962,0
K2-133 b,K2-133,1,0,Transit,2017,K2,3.07133,0.00011,-0.00011,0.03194,1.34,0.077,-0.076,0.12,2.36,,,M1.5 V,0.46,0.46,0.01,-0.01,,75.1703,0.2012,-0.2012,0
K2-133 c,K2-133,1,0,Transit,2017,K2,4.86784,0.00012,-0.00012,0.04341,1.603,0.09,-0.088,0.143,3.2,,,M1.5 V,0.46,0.46,0.01,-0.01,,75.1703,0.2012,-0.2012,0
K2-133 d,K2-133,1,0,Transit,2017,K2,11.02454,0.00036,-0.00035,0.07487,2.003,0.107,-0.107,0.179,4.67,,,M1.5 V,0.46,0.46,0.01,-0.01,,75.1703,0.2012,-0.2012,0
K2-133 e,K2-133,1,0,Transit,2019,K2,26.5841,0.0018,-0.0017,0.1346,1.73,0.14,-0.13,0.154,3.64,,,M1.5 V,0.46,0.46,0.01,-0.01,,75.1703,0.2012,-0.2012,0
K2-136 b,K2-136,2,0,Transit,2017,K2,7.975292,0.000833,-0.00077,,0.99,0.06,-0.04,0.088,0.937,,,K5.5,0.66,0.74,0.02,-0.02,0.688,59.2474,0.1877,-0.1865,0
K2-136 c,K2-136,2,0,Transit,2017,K2,17.307137,0.000252,-0.000284,0.11728,2.91,0.11,-0.1,0.26,8.8,,,K5.5,0.66,0.74,0.02,-0.02,0.688,59.2474,0.1877,-0.1865,0
K2-136 d,K2-136,2,0,Transit,2017,K2,25.575065,0.002418,-0.002357,,1.45,0.11,-0.08,0.129,2.7,,,K5.5,0.66,0.74,0.02,-0.02,0.688,59.2474,0.1877,-0.1865,0
K2-137 b,K2-137,1,0,Transit,2017,K2,0.179715,0.000001,-0.000001,0.0058,0.89,0.09,-0.09,0.079,158.915,,,M3 V,0.44,0.46,0.05,-0.05,,98.8765,0.6176,-0.6101,0
K2-138 b,K2-138,1,0,Transit,2017,K2,2.35309,0.00022,-0.00022,0.03385,1.51,0.11,-0.084,0.135,3.1,1.05,-1.05,G8 V,0.86,0.94,0.02,-0.02,2.8,202.585,2.028,-1.989,0
K2-138 c,K2-138,1,0,Transit,2017,K2,3.56004,0.00012,-0.00011,0.04461,2.299,0.12,-0.087,0.205,6.31,1.13,-1.23,G8 V,0.86,0.94,0.02,-0.02,2.8,202.585,2.028,-1.989,0
K2-138 d,K2-138,1,0,Transit,2017,K2,5.40479,0.00021,-0.00021,0.05893,2.39,0.104,-0.084,0.213,7.92,1.39,-1.35,G8 V,0.86,0.94,0.02,-0.02,2.8,202.585,2.028,-1.989,0
K2-138 e,K2-138,1,0,Transit,2017,K2,8.26146,0.00021,-0.00022,0.0782,3.39,0.156,-0.11,0.302,12.97,1.98,-1.99,G8 V,0.86,0.94,0.02,-0.02,2.8,202.585,2.028,-1.989,0
K2-138 f,K2-138,1,0,Transit,2017,K2,12.75758,0.0005,-0.00048,0.10447,2.904,0.164,-0.111,0.259,1.63,2.12,-1.18,G8 V,0.86,0.94,0.02,-0.02,2.8,202.585,2.028,-1.989,0
K2-138 g,K2-138,1,0,Transit,2021,K2,41.96797,0.00843,-0.00725,0.23109,3.013,0.303,-0.251,0.269,4.32,5.26,-3.03,G8 V,0.86,0.94,0.02,-0.02,2.8,202.585,2.028,-1.989,0
K2-139 b,K2-139,1,0,Transit,2017,K2,28.380619,0.000551,-0.000528,0.1796,9.11,0.17,-0.17,0.813,123.00021,26.37989,-23.83725,K0 V,0.88,0.96,0.02,-0.02,1.8,153.856,0.932,-0.921,0
K2-14 b,K2-14,1,0,Transit,2015,K2,8.36802,0.00019,-0.00019,0.0627,4.81,0.42,-0.42,0.429,20.7,,,M0,0.45,0.47,0.01,-0.01,,364.048,8.099,-8.099,0
K2-140 b,K2-140,1,0,Transit,2017,K2,6.569188,0.000031,-0.000031,0.068,13.563,1.009,-1.009,1.21,295.58042,12.71314,-12.71314,G6 V,1.06,0.96,0.06,-0.04,9.8,347.917,8.287,-7.917,0
K2-141 b,K2-141,1,0,Transit,2018,K2,0.2803244,0.0000015,-0.0000015,0.00716,1.51,0.05,-0.05,0.135,5.08,0.41,-0.41,K7 V,0.68,0.71,0.03,-0.03,6.3,61.8736,0.1662,-0.1654,0
K2-141 c,K2-141,1,0,Transit,2018,K2,7.7485,0.00022,-0.00022,,7,4.6,-2.8,0.624,7.4,,,K7 V,0.68,0.71,0.03,-0.03,6.3,61.8736,0.1662,-0.1654,0
K2-146 b,K2-146,1,0,Transit,2018,K2,2.6446,0.00006,-0.00006,0.0248,2.05,0.06,-0.06,0.183,5.77,0.18,-0.18,M3.0 V,0.33,0.33,0.01,-0.01,5,79.3002,0.478,-0.4723,0
K2-146 c,K2-146,1,0,Transit,2019,K2,4.00498,0.00011,-0.00011,0.0327,2.19,0.07,-0.07,0.195,7.49,0.24,-0.24,M3.0 V,0.33,0.33,0.01,-0.01,5,79.3002,0.478,-0.4723,0
K2-147 b,K2-147,1,0,Transit,2018,K2,0.961917,0.000026,-0.000026,0.0159,1.38,0.17,-0.15,0.123,2.48,,,,0.55,0.58,0.06,-0.06,,90.5494,0.2767,-0.275,0
K2-148 b,K2-148,2,0,Transit,2018,K2,4.38395,0.0008,-0.0008,0.0454,1.33,0.19,-0.18,0.119,2.33,,,,0.63,0.65,0.06,-0.06,,124.458,0.626,-0.619,0
K2-148 c,K2-148,2,0,Transit,2018,K2,6.9226,0.0007,-0.0007,0.0616,1.73,0.24,-0.21,0.154,3.64,,,,0.63,0.65,0.06,-0.06,,124.458,0.626,-0.619,0
K2-148 d,K2-148,2,0,Transit,2018,K2,9.7579,0.001,-0.001,0.0774,1.64,0.24,-0.21,0.146,3.33,,,,0.63,0.65,0.06,-0.06,,124.458,0.626,-0.619,0
K2-149 b,K2-149,1,0,Transit,2018,K2,11.332,0.0013,-0.0013,0.083,1.64,0.2,-0.18,0.146,3.33,,,M1.0 V,0.57,0.59,0.06,-0.06,,123.676,0.543,-0.539,0
K2-15 b,K2-15,1,0,Transit,2015,K2,11.8104,0.00204,-0.00204,0.091,2.48,0.3,-0.3,0.221,6.71,,,G8,0.68,0.72,0.06,-0.03,,493.992,9.0765,-9.0765,0
K2-150 b,K2-150,1,0,Transit,2018,K2,10.59357,0.00084,-0.00084,0.0727,2,0.27,-0.21,0.178,4.66,,,M2.5 V,0.44,0.46,0.05,-0.05,,102.483,0.802,-0.789,0
K2-151 b,K2-151,2,0,Transit,2018,K2,3.835476,0.000266,-0.000256,0.0373,1.49,0.08,-0.08,0.133,2.83,,,M1.5 V,0.45,0.47,0.01,-0.01,,69.4798,0.1524,-0.1517,0
K2-152 b,K2-152,1,0,Transit,2018,K2,32.6479,0.01141,-0.01483,0.1716,2.29,0.25,-0.24,0.204,5.86,,,M0.0 V,0.61,0.63,0.01,-0.01,,108.449,0.414,-0.411,0
