Planet Name,Host Name,Number of Stars,Number of Moons,Discovery Method,Discovery Year,Discovery Facility,Orbital Period,Orbital Period (Upper),Orbital Period (Lower),Orbital Semi- Major Axis,Earth Radius,Earth Radius (Upper),Earth Radius (Lower),Jupiter Radius,Earth Mass,Earth Mass (Upper),Earth Mass (Lower),Spectral Type,Stellar Radius,Stellar Mass,Stellar Mass (Upper),Stellar Mass (Lower),Stellar Age,Relative Distance,Relative Distance (Upper),Relative Distance (Lower),Number of Emission Spectroscopy Measurements
WASP-177 b,WASP-177,1,0,Transit,2019,SuperWASP,3.071722,0.000001,-0.000001,0.03957,17.71,7.398,-4.035,1.58,161.45764,12.07754,-12.07754,K2,0.89,0.88,0.04,-0.04,9.7,176.818,2.428,-2.364,0
WASP-178 b,WASP-178,1,0,Transit,2019,WASP-South,3.3448285,0.0000012,-0.0000012,0.0558,20.288,1.009,-1.009,1.81,527.5978,38.1396,-38.1396,A1 IV-V,1.67,2.07,0.11,-0.11,0.43,427.678,11.35,-10.786,0
WASP-18 b,WASP-18,2,0,Transit,2009,SuperWASP,0.94124,0.00000234,-0.00000234,0.02,13.35,0.426,-0.426,1.191,3314.82,,,F6 IV-V,1.23,1.22,,,1,123.483,0.371,-0.369,57
WASP-18 c,WASP-18,2,0,Transit Timing Variations,2019,Transiting Exoplanet Survey Satellite (TESS),2.1558,0.0064,-0.0064,0.035,8.58,,,0.765,55.2,12.3,-12.3,F6 IV-V,1.23,1.22,,,1,123.483,0.371,-0.369,0
WASP-180 A b,WASP-180 A,2,0,Transit,2019,SuperWASP,3.409264,0.000001,-0.000001,0.048,13.899,0.448,-0.448,1.24,286.047,31.783,-31.783,F7 V,1.19,1.3,0.1,-0.1,1.2,253.985,3.404,-3.316,0
WASP-181 b,WASP-181,1,0,Transit,2019,SuperWASP,4.5195064,0.0000034,-0.0000034,0.05427,13.271,0.796,-0.661,1.184,95.03117,10.80622,-10.80622,G2,0.96,1.04,0.04,-0.04,2.5,437.495,7.964,-7.689,0
WASP-182 b,WASP-182,1,0,Transit,2019,WASP-South,3.3769848,0.0000024,-0.0000024,0.0451,9.528,0.336,-0.336,0.85,47.03884,3.49613,-3.49613,G5,1.34,1.08,0.06,-0.06,5.952,327.602,4.598,-4.474,0
WASP-183 b,WASP-183,1,0,Transit,2019,SuperWASP,4.1117771,0.0000051,-0.0000051,0.04632,16.477,10.536,-3.699,1.47,159.55066,14.93801,-14.93801,G9,0.87,0.78,0.04,-0.04,14.9,325.377,3.979,-3.885,0
WASP-184 b,WASP-184,1,0,Transit,2019,WASP-South,5.1817,0.00001,-0.00001,0.0627,14.908,1.009,-1.009,1.33,181.1631,31.783,-31.783,G0 V,1.65,1.23,0.07,-0.07,4.7,663.231,16.965,-16.152,0
WASP-185 b,WASP-185,1,0,Transit,2019,WASP-South,9.38755,0.00002,-0.00002,0.0904,14.011,0.897,-0.897,1.25,311.4734,19.0698,-19.0698,G0 V,1.5,1.12,0.06,-0.06,6.6,279.35,3.439,-3.358,0
WASP-186 b,WASP-186,1,0,Transit,2020,SuperWASP,5.026799,0.000012,-0.000014,0.06,12.442,0.336,-0.336,1.11,1341.2426,57.2094,-57.2094,F,1.47,1.22,0.07,-0.08,3.1,278.514,3.387,-3.307,0
WASP-187 b,WASP-187,1,0,Transit,2020,SuperWASP,5.147878,0.000005,-0.000009,0.0653,18.383,0.56,-0.56,1.64,254.264,28.6047,-28.6047,F,2.83,1.54,0.09,-0.09,2.55,371.414,6.271,-6.07,0
WASP-19 b,WASP-19,1,0,Transit,2009,SuperWASP,0.78883899,0.00000004,-0.00000004,0.01634,15.603,0.448,-0.448,1.392,339.76027,12.07754,-11.75971,G8 V,1,0.9,0.04,-0.04,11.5,268.325,1.72,-1.698,9
WASP-190 b,WASP-190,1,0,Transit,2019,WASP-South,5.367753,0.000004,-0.000004,0.0663,12.89,1.009,-1.009,1.15,317.83,31.783,-31.783,F6 IV-V,1.6,1.35,0.05,-0.05,,542.251,10.131,-9.773,0
WASP-192 b,WASP-192,1,0,Transit,2019,WASP-South,2.8786765,0.0000028,-0.0000028,0.0408,13.787,0.897,-0.897,1.23,731.009,50.8528,-50.8528,G0 V,1.32,1.09,0.06,-0.06,5.7,508.885,16.646,-15.641,0
WASP-2 b,WASP-2,2,0,Transit,2007,SuperWASP,2.152175,0.000012,-0.000011,0.03144,12.117,0.46,-0.448,1.081,295.89973,19.0698,-18.43414,K1,0.87,0.9,0.08,-0.07,8.2,153.242,1.64,-1.605,0
WASP-20 b,WASP-20,2,0,Transit,2015,SuperWASP,4.8996284,0.0000033,-0.0000033,0.06,16.388,0.661,-0.661,1.462,98.841,5.403,-5.403,F9,1.39,1.2,0.04,-0.04,7,211.877,,,0
WASP-21 b,WASP-21,1,0,Transit,2010,SuperWASP,4.322482,0.000019,-0.000024,0.052,11.99,0.56,-0.56,1.07,95.345,3.496,-3.496,G3 V,1.06,1.01,0.03,-0.03,12,258.426,2.907,-2.845,0
WASP-22 b,WASP-22,1,0,Transit,2010,SuperWASP,3.53269,0.00001,-0.00001,0.047,13.787,1.569,-1.569,1.23,212.9461,60.3877,-60.3877,G1 V,1.24,1.46,0.63,-0.63,3,317.652,5.638,-5.447,0
WASP-23 b,WASP-23,1,0,Transit,2010,SuperWASP,2.9444256,0.0000011,-0.0000013,0.0376,10.783,0.527,-0.628,0.962,280.95,27.968,-31.464,,0.77,0.78,0.13,,6.2,207.49,1.031,-1.022,0
WASP-24 b,WASP-24,3,0,Transit,2010,SuperWASP,2.34121,0.000002,-0.000002,0.03651,15.468,1.793,-1.793,1.38,394.1092,92.1707,-92.1707,,1.42,1.43,0.5,-0.5,3.8,322.114,4.498,-4.378,2
WASP-25 b,WASP-25,1,0,Transit,2010,SuperWASP,3.76483,0.000005,-0.000005,0.0473,11.994,1.121,-1.121,1.07,139.8452,31.783,-31.783,,0.8,0.67,0.22,-0.22,0.02,211.416,1.468,-1.447,0
WASP-26 b,WASP-26,2,0,Transit,2010,SuperWASP,2.7566,0.00001,-0.00001,0.03985,13.563,1.681,-1.681,1.21,270.1555,73.1009,-73.1009,,1.22,0.86,0.34,-0.34,6,252.759,4.761,-4.591,2
WASP-28 b,WASP-28,1,0,Transit,2014,SuperWASP,3.40883,0.000006,-0.000006,0.04469,13.597,0.471,-0.471,1.213,288.26,13.666,-13.666,F8,1.09,1.02,0.05,-0.05,5,348.494,5.654,-5.479,0
WASP-29 b,WASP-29,1,0,Transit,2010,SuperWASP,3.92273,0.000004,-0.000004,0.0457,8.631,0.785,-0.785,0.77,73.1009,15.8915,-15.8915,,0.79,0.77,0.25,-0.25,14,87.5953,0.3117,-0.3095,0
WASP-3 b,WASP-3,3,0,Transit,2007,SuperWASP,1.84683,0.000002,-0.000002,0.0315,15.917,1.906,-1.906,1.42,772.3269,168.4499,-168.4499,,1.44,1.62,0.53,-0.53,2.1,231.161,1.648,-1.625,6
WASP-31 b,WASP-31,1,0,Transit,2010,SuperWASP,3.4059096,0.000005,-0.000005,0.04659,17.363,0.56,-0.56,1.549,151.916,9.217,-9.217,,1.25,1.16,0.03,,1,383.829,6.437,-6.231,0
WASP-32 b,WASP-32,1,0,Transit,2010,SuperWASP,2.71866,0.000002,-0.000002,0.0394,10.761,1.681,-1.681,0.96,835.8929,260.6206,-260.6206,,0.95,0.72,0.34,-0.34,2.22,275.994,3.344,-3.267,0
WASP-33 b,WASP-33,2,0,Transit,2010,SuperWASP,1.21987,0.000001,-0.000001,0.0239,17.856,0.829,-0.829,1.593,665.21819,44.17837,-44.17837,A5,1.44,1.5,0.03,-0.03,,121.944,0.998,-0.983,111
